"","pi_D08","is_ok","CO2.PPM.","SIO2.WT..","TIO2.WT..","AL2O3.WT..","FeOT_calc","MGO.WT..","CAO.WT..","NA2O.WT..","K2O.WT..","P2O5.WT..","NB.PPM.","CE.PPM.","LA.PPM."
"567",NA,0,3.31323429169472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568",NA,0,3.4144719496293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569",NA,0,3.4996870826184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570",NA,0,3.39898106665813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571",NA,0,3.35024801833416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572",NA,0,3.20357677497797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573",NA,0,3.20682587603185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574",NA,0,3.1300119496719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575",NA,0,3.24079877111733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576",NA,0,3.46149852678302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577",NA,0,3.29776051109913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578",NA,0,3.29424571613812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579",NA,0,3.28735377271475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580",NA,0,3.41145134213794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581",NA,0,3.24353410183206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582",NA,0,3.26881190373978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
